hour,el_hh_norm
0,6.3048E-05
1,4.672E-05
2,4.24302E-05
3,4.08231E-05
4,4.19197E-05
5,5.04178E-05
6,8.94433E-05
7,0.000123983
8,0.000131438
9,0.000128249
10,0.000123206
11,0.000125112
12,0.000139271
13,0.000136055
14,0.000118964
15,0.000107236
16,0.000103851
17,0.000117279
18,0.000144891
19,0.000167471
20,0.000160368
21,0.000144646
22,0.000126113
23,9.48509E-05
24,6.3048E-05
25,4.672E-05
26,4.24302E-05
27,4.08231E-05
28,4.19197E-05
29,5.04178E-05
30,8.94433E-05
31,0.000123983
32,0.000131438
33,0.000128249
34,0.000123206
35,0.000125112
36,0.000139271
37,0.000136055
38,0.000118964
39,0.000107236
40,0.000103851
41,0.000117279
42,0.000144891
43,0.000167471
44,0.000160368
45,0.000144646
46,0.000126113
47,9.48509E-05
48,6.40727E-05
49,4.98185E-05
50,4.04303E-05
51,3.83094E-05
52,3.79027E-05
53,3.92699E-05
54,5.03476E-05
55,7.70523E-05
56,0.000108552
57,0.000128684
58,0.000136741
59,0.000143061
60,0.000152319
61,0.000149238
62,0.000135667
63,0.000126734
64,0.000125411
65,0.000140828
66,0.000161142
67,0.000169471
68,0.000151018
69,0.00012502
70,0.000117619
71,9.90794E-05
72,7.78246E-05
73,5.71364E-05
74,4.57957E-05
75,4.19604E-05
76,4.06599E-05
77,4.0299E-05
78,4.25623E-05
79,5.70264E-05
80,9.63076E-05
81,0.000141505
82,0.000168678
83,0.000189745
84,0.000192924
85,0.00015986
86,0.000128702
87,0.000111863
88,9.9666E-05
89,0.000107451
90,0.000130341
91,0.000151512
92,0.000146675
93,0.00013281
94,0.00011806
95,8.84205E-05
96,6.3048E-05
97,4.672E-05
98,4.24302E-05
99,4.08231E-05
100,4.19197E-05
101,5.04178E-05
102,8.94433E-05
103,0.000123983
104,0.000131438
105,0.000128249
106,0.000123206
107,0.000125112
108,0.000139271
109,0.000136055
110,0.000118964
111,0.000107236
112,0.000103851
113,0.000117279
114,0.000144891
115,0.000167471
116,0.000160368
117,0.000144646
118,0.000126113
119,9.48509E-05
120,6.3048E-05
121,4.672E-05
122,4.24302E-05
123,4.08231E-05
124,4.19197E-05
125,5.04178E-05
126,8.94433E-05
127,0.000123983
128,0.000131438
129,0.000128249
130,0.000123206
131,0.000125112
132,0.000139271
133,0.000136055
134,0.000118964
135,0.000107236
136,0.000103851
137,0.000117279
138,0.000144891
139,0.000167471
140,0.000160368
141,0.000144646
142,0.000126113
143,9.48509E-05
144,6.3048E-05
145,4.672E-05
146,4.24302E-05
147,4.08231E-05
148,4.19197E-05
149,5.04178E-05
150,8.94433E-05
151,0.000123983
152,0.000131438
153,0.000128249
154,0.000123206
155,0.000125112
156,0.000139271
157,0.000136055
158,0.000118964
159,0.000107236
160,0.000103851
161,0.000117279
162,0.000144891
163,0.000167471
164,0.000160368
165,0.000144646
166,0.000126113
167,9.48509E-05
168,6.3048E-05
169,4.672E-05
170,4.24302E-05
171,4.08231E-05
172,4.19197E-05
173,5.04178E-05
174,8.94433E-05
175,0.000123983
176,0.000123983
177,0.000131438
178,0.000128249
179,0.000123206
180,0.000125112
181,0.000139271
182,0.000136055
183,0.000118964
184,0.000107236
185,0.000103851
186,0.000117279
187,0.000144891
188,0.000167471
189,0.000160368
190,0.000144646
191,0.000126113
192,9.48509E-05
193,6.3048E-05
194,4.672E-05
195,4.24302E-05
196,4.08231E-05
197,4.19197E-05
198,5.04178E-05
199,8.94433E-05
200,0.000123983
201,0.000131438
202,0.000128249
203,0.000123206
204,0.000125112
205,0.000139271
206,0.000136055
207,0.000118964
208,0.000107236
209,0.000103851
210,0.000117279
211,0.000144891
212,0.000167471
213,0.000160368
214,0.000144646
215,0.000126113
216,9.48509E-05
217,6.40727E-05
218,4.98185E-05
219,4.04303E-05
220,3.83094E-05
221,3.79027E-05
222,3.92699E-05
223,5.03476E-05
224,7.70523E-05
225,0.000108552
226,0.000128684
227,0.000136741
228,0.000143061
229,0.000152319
230,0.000149238
231,0.000135667
232,0.000126734
233,0.000125411
234,0.000140828
235,0.000161142
236,0.000169471
237,0.000151018
238,0.00012502
239,0.000117619
240,9.90794E-05
241,7.78246E-05
242,5.71364E-05
243,4.57957E-05
244,4.19604E-05
245,4.06599E-05
246,4.0299E-05
247,4.25623E-05
248,5.70264E-05
249,9.63076E-05
250,0.000141505
251,0.000168678
252,0.000189745
253,0.000192924
254,0.00015986
255,0.000128702
256,0.000111863
257,9.9666E-05
258,0.000107451
259,0.000130341
260,0.000151512
261,0.000146675
262,0.00013281
263,0.00011806
264,8.84205E-05
265,6.3048E-05
266,4.672E-05
267,4.24302E-05
268,4.08231E-05
269,4.19197E-05
270,5.04178E-05
271,8.94433E-05
272,0.000123983
273,0.000131438
274,0.000128249
275,0.000123206
276,0.000125112
277,0.000139271
278,0.000136055
279,0.000118964
280,0.000107236
281,0.000103851
282,0.000117279
283,0.000144891
284,0.000167471
285,0.000160368
286,0.000144646
287,0.000126113
288,9.48509E-05
289,6.3048E-05
290,4.672E-05
291,4.24302E-05
292,4.08231E-05
293,4.19197E-05
294,5.04178E-05
295,8.94433E-05
296,0.000123983
297,0.000131438
298,0.000128249
299,0.000123206
300,0.000125112
301,0.000139271
302,0.000136055
303,0.000118964
304,0.000107236
305,0.000103851
306,0.000117279
307,0.000144891
308,0.000167471
309,0.000160368
310,0.000144646
311,0.000126113
312,9.48509E-05
313,6.3048E-05
314,4.672E-05
315,4.24302E-05
316,4.08231E-05
317,4.19197E-05
318,5.04178E-05
319,8.94433E-05
320,0.000123983
321,0.000131438
322,0.000128249
323,0.000123206
324,0.000125112
325,0.000139271
326,0.000136055
327,0.000118964
328,0.000107236
329,0.000103851
330,0.000117279
331,0.000144891
332,0.000167471
333,0.000160368
334,0.000144646
335,0.000126113
336,9.48509E-05
337,6.3048E-05
338,4.672E-05
339,4.24302E-05
340,4.08231E-05
341,4.19197E-05
342,5.04178E-05
343,8.94433E-05
344,0.000123983
345,0.000131438
346,0.000128249
347,0.000123206
348,0.000125112
349,0.000139271
350,0.000136055
351,0.000118964
352,0.000107236
353,0.000103851
354,0.000117279
355,0.000144891
356,0.000167471
357,0.000160368
358,0.000144646
359,0.000126113
360,9.48509E-05
361,6.3048E-05
362,4.672E-05
363,4.24302E-05
364,4.08231E-05
365,4.19197E-05
366,5.04178E-05
367,8.94433E-05
368,0.000123983
369,0.000131438
370,0.000128249
371,0.000123206
372,0.000125112
373,0.000139271
374,0.000136055
375,0.000118964
376,0.000107236
377,0.000103851
378,0.000117279
379,0.000144891
380,0.000167471
381,0.000160368
382,0.000144646
383,0.000126113
384,9.48509E-05
385,6.40727E-05
386,4.98185E-05
387,4.04303E-05
388,3.83094E-05
389,3.79027E-05
390,3.92699E-05
391,5.03476E-05
392,7.70523E-05
393,0.000108552
394,0.000128684
395,0.000136741
396,0.000143061
397,0.000152319
398,0.000149238
399,0.000135667
400,0.000126734
401,0.000125411
402,0.000140828
403,0.000161142
404,0.000169471
405,0.000151018
406,0.00012502
407,0.000117619
408,9.90794E-05
409,7.78246E-05
410,5.71364E-05
411,4.57957E-05
412,4.19604E-05
413,4.06599E-05
414,4.0299E-05
415,4.25623E-05
416,5.70264E-05
417,9.63076E-05
418,0.000141505
419,0.000168678
420,0.000189745
421,0.000192924
422,0.00015986
423,0.000128702
424,0.000111863
425,9.9666E-05
426,0.000107451
427,0.000130341
428,0.000151512
429,0.000146675
430,0.00013281
431,0.00011806
432,8.84205E-05
433,6.3048E-05
434,4.672E-05
435,4.24302E-05
436,4.08231E-05
437,4.19197E-05
438,5.04178E-05
439,8.94433E-05
440,0.000123983
441,0.000131438
442,0.000128249
443,0.000123206
444,0.000125112
445,0.000139271
446,0.000136055
447,0.000118964
448,0.000107236
449,0.000103851
450,0.000117279
451,0.000144891
452,0.000167471
453,0.000160368
454,0.000144646
455,0.000126113
456,9.48509E-05
457,6.3048E-05
458,4.672E-05
459,4.24302E-05
460,4.08231E-05
461,4.19197E-05
462,5.04178E-05
463,8.94433E-05
464,0.000123983
465,0.000131438
466,0.000128249
467,0.000123206
468,0.000125112
469,0.000139271
470,0.000136055
471,0.000118964
472,0.000107236
473,0.000103851
474,0.000117279
475,0.000144891
476,0.000167471
477,0.000160368
478,0.000144646
479,0.000126113
480,9.48509E-05
481,6.3048E-05
482,4.672E-05
483,4.24302E-05
484,4.08231E-05
485,4.19197E-05
486,5.04178E-05
487,8.94433E-05
488,0.000123983
489,0.000131438
490,0.000128249
491,0.000123206
492,0.000125112
493,0.000139271
494,0.000136055
495,0.000118964
496,0.000107236
497,0.000103851
498,0.000117279
499,0.000144891
500,0.000167471
501,0.000160368
502,0.000144646
503,0.000126113
504,9.48509E-05
505,6.3048E-05
506,4.672E-05
507,4.24302E-05
508,4.08231E-05
509,4.19197E-05
510,5.04178E-05
511,8.94433E-05
512,0.000123983
513,0.000131438
514,0.000128249
515,0.000123206
516,0.000125112
517,0.000139271
518,0.000136055
519,0.000118964
520,0.000107236
521,0.000103851
522,0.000117279
523,0.000144891
524,0.000167471
525,0.000160368
526,0.000144646
527,0.000126113
528,9.48509E-05
529,6.3048E-05
530,4.672E-05
531,4.24302E-05
532,4.08231E-05
533,4.19197E-05
534,5.04178E-05
535,8.94433E-05
536,0.000123983
537,0.000131438
538,0.000128249
539,0.000123206
540,0.000125112
541,0.000139271
542,0.000136055
543,0.000118964
544,0.000107236
545,0.000103851
546,0.000117279
547,0.000144891
548,0.000167471
549,0.000160368
550,0.000144646
551,0.000126113
552,9.48509E-05
553,6.40727E-05
554,4.98185E-05
555,4.04303E-05
556,3.83094E-05
557,3.79027E-05
558,3.92699E-05
559,5.03476E-05
560,7.70523E-05
561,0.000108552
562,0.000128684
563,0.000136741
564,0.000143061
565,0.000152319
566,0.000149238
567,0.000135667
568,0.000126734
569,0.000125411
570,0.000140828
571,0.000161142
572,0.000169471
573,0.000151018
574,0.00012502
575,0.000117619
576,9.90794E-05
577,7.78246E-05
578,5.71364E-05
579,4.57957E-05
580,4.19604E-05
581,4.06599E-05
582,4.0299E-05
583,4.25623E-05
584,5.70264E-05
585,9.63076E-05
586,0.000141505
587,0.000168678
588,0.000189745
589,0.000192924
590,0.00015986
591,0.000128702
592,0.000111863
593,9.9666E-05
594,0.000107451
595,0.000130341
596,0.000151512
597,0.000146675
598,0.00013281
599,0.00011806
600,8.84205E-05
601,6.3048E-05
602,4.672E-05
603,4.24302E-05
604,4.08231E-05
605,4.19197E-05
606,5.04178E-05
607,8.94433E-05
608,0.000123983
609,0.000131438
610,0.000128249
611,0.000123206
612,0.000125112
613,0.000139271
614,0.000136055
615,0.000118964
616,0.000107236
617,0.000103851
618,0.000117279
619,0.000144891
620,0.000167471
621,0.000160368
622,0.000144646
623,0.000126113
624,9.48509E-05
625,6.3048E-05
626,4.672E-05
627,4.24302E-05
628,4.08231E-05
629,4.19197E-05
630,5.04178E-05
631,8.94433E-05
632,0.000123983
633,0.000131438
634,0.000128249
635,0.000123206
636,0.000125112
637,0.000139271
638,0.000136055
639,0.000118964
640,0.000107236
641,0.000103851
642,0.000117279
643,0.000144891
644,0.000167471
645,0.000160368
646,0.000144646
647,0.000126113
648,9.48509E-05
649,6.3048E-05
650,4.672E-05
651,4.24302E-05
652,4.08231E-05
653,4.19197E-05
654,5.04178E-05
655,8.94433E-05
656,0.000123983
657,0.000131438
658,0.000128249
659,0.000123206
660,0.000125112
661,0.000139271
662,0.000136055
663,0.000118964
664,0.000107236
665,0.000103851
666,0.000117279
667,0.000144891
668,0.000167471
669,0.000160368
670,0.000144646
671,0.000126113
672,9.48509E-05
673,6.3048E-05
674,4.672E-05
675,4.24302E-05
676,4.08231E-05
677,4.19197E-05
678,5.04178E-05
679,8.94433E-05
680,0.000123983
681,0.000131438
682,0.000128249
683,0.000123206
684,0.000125112
685,0.000139271
686,0.000136055
687,0.000118964
688,0.000107236
689,0.000103851
690,0.000117279
691,0.000144891
692,0.000167471
693,0.000160368
694,0.000144646
695,0.000126113
696,9.48509E-05
697,6.3048E-05
698,4.672E-05
699,4.24302E-05
700,4.08231E-05
701,4.19197E-05
702,5.04178E-05
703,8.94433E-05
704,0.000123983
705,0.000131438
706,0.000128249
707,0.000123206
708,0.000125112
709,0.000139271
710,0.000136055
711,0.000118964
712,0.000107236
713,0.000103851
714,0.000117279
